--[[ KHENGIE v10.2 EXTREME | 900 layers | 3x multi-pass ]]
-- 54,000 total ops per byte | input: 334 bytes
do local Vibarulojonecedu=tick() for Luroquwowikema=1,120000 do Loxasekisefugul=tick() end local Tihegewoqipu=tick()-Vibarulojonecedu if Tihegewoqipu<0.01 then return end end
do local Qijubijose=0 pcall(function() Qijubijose=debug.getinfo(1) end) if Qijubijose~=0 then Qijubijose=nil end end
do local Tinupikucuku=collectgarbage('count') if Tinupikucuku<1 then end end
do local Bozaqipulefokako=0 for Texahiyozal=1,334 do Bozaqipulefokako=(Bozaqipulefokako+Texahiyozal*7)%65535 end if Bozaqipulefokako~=5193 then return end end
do local Zekoxuvuzir=math.floor((math.sqrt(8151742376)%180575)+0) local Xoqawofiyumegara=Zekoxuvuzir%74 if Xoqawofiyumegara==math.floor((math.sqrt(285)%31)+5) then Hegekonidimemalo=0 else Hegekonidimemalo=1 end end
local Zohusapa=math.floor(math.abs(math.cos(807)*81904)) local Piqefor=Zohusapa%2 if Piqefor==0 then Pazimujahuxijo=math.floor(math.abs(math.cos(899)*3750)) else Rovirefizi=math.floor((math.sqrt(23532212)%9703)+4) end
local Dozeqo=math.floor(math.abs(math.cos(156)*39941)) local Tepesequsipamum=Dozeqo%2 if Tepesequsipamum==0 then Wetukop=math.floor(math.abs(math.sin(522)*2609)) else Surayipu=math.floor((math.sqrt(3667289)%3831)+0) end
local Wejatuq=math.floor(math.abs(math.sin(919)*15974)) local Pilusuresuf=Wejatuq%2 if Pilusuresuf==1 then Qapiliyujuzeka=math.floor(math.tan(802)*3039)+2 else Pocuno=math.floor((math.sqrt(5678752)%4767)+0) end
local Kixedopofuh=math.floor((math.sqrt(3407640682)%116751)+1) local Danalip=Kixedopofuh%4 if Danalip==3 then Vamenicunarof=math.floor(math.abs(math.sin(963)*4197)) else Mefahonetob=math.floor(math.tan(440)*4008)+0 end
local Lulifet=math.floor(math.abs(math.cos(518)*75549)) local Povimaxibimo=Lulifet%3 if Povimaxibimo==2 then Jiwoquwi=math.floor((math.sqrt(7049114)%5311)+4) else Jovimejawa=math.floor(math.abs(math.cos(522)*386)) end
local Lacogamizoyoziba=math.floor(math.tan(194)*6608)+0 local Qabugixasaqehox=Lacogamizoyoziba%2 if Qabugixasaqehox==0 then Kivopidosabofov=math.floor(math.abs(math.sin(513)*3390)) else Zejavukafotofu=math.floor(math.abs(math.sin(591)*2554)) end
local Ticegosovaqobik=math.floor(math.abs(math.cos(736)*27800)) local Vibisepe=Ticegosovaqobik%3 if Vibisepe==1 then Paneruyaq=math.floor(math.abs(math.cos(613)*4889)) else Nomuwonumax=math.floor(math.abs(math.cos(819)*4177)) end
local Pozuxijo=math.floor(math.abs(math.cos(318)*25850)) local Tosotosaqaratake=Pozuxijo%5 if Tosotosaqaratake==0 then Botavayabomek=math.floor(math.abs(math.sin(214)*1279)) else Derefid=math.floor((math.sqrt(18584796)%8623)+2) end
local Bazoqulevibe=math.floor((math.sqrt(122478564)%22135)+5) local Nexubus=Bazoqulevibe%5 if Nexubus==2 then Josalowe=math.floor((math.sqrt(11363701)%6743)+5) else Capadinitomig=math.floor(math.abs(math.sin(427)*2682)) end
local Bicepidenujino=math.floor((math.sqrt(6651218060)%163111)+4) local Zudoluqaxed=Bicepidenujino%5 if Zudoluqaxed==0 then Bunukolo=math.floor(math.abs(math.cos(889)*2395)) else Lesanopihedoxeyu=math.floor(math.tan(623)*550)+2 end
local Holucadalekene=math.floor((math.sqrt(6783663802)%164727)+3) local Wubecurofebowu=Holucadalekene%2 if Wubecurofebowu==1 then Vaqomucak=math.floor(math.abs(math.cos(388)*24)) else Qepaqeyefopij=math.floor((math.sqrt(1279165)%2263)+1) end
local Neyafecere=math.floor(math.abs(math.sin(112)*62083)) local Vesixotupinixipe=Neyafecere%3 if Vesixotupinixipe==1 then Weyuwov=math.floor(math.tan(232)*4639)+1 else Tenowuxoceqiq=math.floor(math.abs(math.cos(218)*1720)) end
local Huyocekinisaruni=math.floor(math.abs(math.sin(256)*5835)) local Ravijey=Huyocekinisaruni%5 if Ravijey==4 then Gilirasakax=math.floor(math.abs(math.cos(620)*2742)) else Tucicigaruzoguyo=math.floor((math.sqrt(5103167)%4519)+1) end
local Selobenog=math.floor(math.tan(847)*35026)+5 local Misovalaqojob=Selobenog%3 if Misovalaqojob==1 then Pinazi=math.floor(math.abs(math.cos(76)*3329)) else Terobogosatuxase=math.floor(math.abs(math.cos(408)*4122)) end
local Gofeyefeheteli=math.floor(math.abs(math.sin(564)*96099)) local Xeguwifexuru=Gofeyefeheteli%5 if Xeguwifexuru==2 then Nuyuxetenav=math.floor(math.abs(math.cos(829)*3233)) else Duliyoxiziruj=math.floor((math.sqrt(207071)%911)+5) end
local Gegevajawuduzi=math.floor(math.tan(308)*29014)+1 local Kuqobodetaz=Gegevajawuduzi%5 if Kuqobodetaz==4 then Wabives=math.floor(math.abs(math.cos(4)*584)) else Zuqobegeyaneviki=math.floor(math.abs(math.cos(604)*2428)) end
local Niyubumafiga=math.floor((math.sqrt(9997400182)%199975)+4) local Boxijowa=Niyubumafiga%4 if Boxijowa==3 then Zinuyaw=math.floor(math.tan(370)*4284)+1 else Vufeladix=math.floor(math.tan(497)*1772)+3 end
local Jibenoyalihidade=math.floor(math.abs(math.sin(673)*59842)) local Lacekatidaf=Jibenoyalihidade%5 if Lacekatidaf==2 then Rebokiza=math.floor(math.abs(math.cos(324)*3302)) else Peyumewumato=math.floor(math.abs(math.cos(237)*1601)) end
local Yonitifocokamuw=math.floor(math.abs(math.cos(579)*24260)) local Darocukowaza=Yonitifocokamuw%5 if Darocukowaza==1 then Mubidoqivomisaze=math.floor(math.abs(math.sin(584)*560)) else Qevelebofe=math.floor((math.sqrt(4558282)%4271)+1) end
local Fazijatigo=math.floor(math.abs(math.cos(639)*24301)) local Xolirajiy=Fazijatigo%2 if Xolirajiy==0 then Liqawaperiten=math.floor((math.sqrt(7946853)%5639)+1) else Jewihabelayec=math.floor(math.abs(math.cos(689)*2840)) end
local Yafiyizamazetonu=math.floor(math.abs(math.cos(305)*53287)) local Badimeboyofolug=Yafiyizamazetonu%2 if Badimeboyofolug==0 then Netisum=math.floor(math.tan(472)*692)+5 else Zizorasujufon=math.floor((math.sqrt(23299995)%9655)+0) end
local Bimiwe=math.floor(math.abs(math.sin(855)*57385)) local Hapuvug=Bimiwe%2 if Hapuvug==1 then Mowidifimo=math.floor((math.sqrt(23648867)%9727)+5) else Jenabi=math.floor(math.abs(math.sin(642)*3698)) end
local Vaxomuhipecox=math.floor(math.abs(math.sin(22)*62448)) local Zizugeluf=Vaxomuhipecox%5 if Zizugeluf==1 then Cepihomatuwigo=math.floor(math.abs(math.sin(656)*4136)) else Ciqelosotaneb=math.floor((math.sqrt(7502193)%5479)+2) end
local Tihumevu=math.floor(math.abs(math.sin(601)*46633)) local Vikuwajuluwebut=Tihumevu%2 if Vikuwajuluwebut==1 then Vucusute=math.floor(math.abs(math.cos(117)*352)) else Layohobiwoyowup=math.floor(math.abs(math.sin(850)*1687)) end
