--[[ KHENGIE v10.2 EXTREME | 800 layers | 3x multi-pass ]]
-- 48,000 total ops per byte | input: 334 bytes
do local Mecafarow=tick() for Pujubaro=1,120000 do Gicurem=tick() end local Gowusedu=tick()-Mecafarow if Gowusedu<0.01 then return end end
do local Zetegaxefu=0 pcall(function() Zetegaxefu=debug.getinfo(1) end) if Zetegaxefu~=0 then Zetegaxefu=nil end end
do local Kegediwomusifipu=collectgarbage('count') if Kegediwomusifipu<1 then end end
do local Pexositefujazi=0 for Momosigubolala=1,334 do Pexositefujazi=(Pexositefujazi+Momosigubolala*7)%65535 end if Pexositefujazi~=5193 then return end end
do local Hefaromojo=math.floor((math.sqrt(880130926)%59335)+1) local Lahejipixayedomu=Hefaromojo%85 if Lahejipixayedomu==math.floor(math.abs(math.cos(459)*61)) then Zopubecotil=0 else Zopubecotil=1 end end
local Fitume=math.floor(math.abs(math.sin(977)*21661)) local Ziziwim=Fitume%2 if Ziziwim==1 then Poqevusesosenag=math.floor(math.tan(209)*1492)+1 else Vehikapux=math.floor(math.abs(math.cos(53)*3564)) end
local Ledaqo=math.floor((math.sqrt(155925247)%24975)+3) local Zurimap=Ledaqo%4 if Zurimap==3 then Mihemeto=math.floor(math.tan(518)*622)+0 else Juhoca=math.floor((math.sqrt(14922808)%7727)+2) end
local Macopebejen=math.floor(math.abs(math.cos(506)*17042)) local Hijetu=Macopebejen%3 if Hijetu==1 then Bizuvodigo=math.floor(math.abs(math.sin(263)*4757)) else Jokavehuvopanov=math.floor(math.abs(math.cos(735)*4210)) end
local Heheyunal=math.floor(math.abs(math.sin(27)*89783)) local Zozisegobadice=Heheyunal%5 if Zozisegobadice==1 then Qolofe=math.floor(math.abs(math.cos(94)*4074)) else Nuyimulo=math.floor(math.abs(math.cos(590)*494)) end
local Vuzemigole=math.floor(math.abs(math.cos(409)*42928)) local Vituduboga=Vuzemigole%4 if Vituduboga==0 then Xefawefo=math.floor(math.abs(math.cos(159)*3305)) else Naselujowaliva=math.floor((math.sqrt(758718)%1743)+2) end
local Yohahijezuripu=math.floor(math.abs(math.cos(227)*88642)) local Jotanavudamohe=Yohahijezuripu%5 if Jotanavudamohe==1 then Sowaqasijokelonu=math.floor((math.sqrt(1130008)%2127)+3) else Qezutodajar=math.floor(math.abs(math.sin(579)*3603)) end
local Fuqojefeqiq=math.floor(math.abs(math.cos(911)*77604)) local Muliya=Fuqojefeqiq%2 if Muliya==0 then Ziwujehetage=math.floor(math.abs(math.sin(354)*1334)) else Hagusiwuzemu=math.floor(math.tan(923)*2216)+1 end
local Pisahebemis=math.floor(math.abs(math.sin(221)*76712)) local Safitotilejeh=Pisahebemis%4 if Safitotilejeh==1 then Hozusineq=math.floor(math.abs(math.cos(475)*766)) else Fufotevowa=math.floor(math.tan(487)*3706)+2 end
local Pajuracudihaset=math.floor((math.sqrt(2323914941)%96415)+0) local Jajajayiw=Pajuracudihaset%4 if Jajajayiw==3 then Mubuyadudogopu=math.floor(math.abs(math.sin(568)*1491)) else Zohakoluwe=math.floor(math.abs(math.sin(224)*3170)) end
local Yekafewoburope=math.floor(math.tan(72)*28762)+0 local Vametudavig=Yekafewoburope%4 if Vametudavig==2 then Wumevugiqeya=math.floor(math.tan(364)*1179)+0 else Sofeyuzehata=math.floor((math.sqrt(16120294)%8031)+1) end
local Femavoniwile=math.floor(math.abs(math.cos(771)*82017)) local Nexirecoginona=Femavoniwile%4 if Nexirecoginona==0 then Bomugahaxazuw=math.floor(math.abs(math.cos(702)*1590)) else Yuwazubik=math.floor(math.abs(math.sin(631)*1986)) end
local Gujanobi=math.floor(math.abs(math.cos(765)*93374)) local Yanutifak=Gujanobi%4 if Yanutifak==0 then Peginoxi=math.floor(math.tan(693)*2183)+2 else Gabebaxe=math.floor(math.abs(math.cos(787)*1428)) end
local Kavezatimab=math.floor((math.sqrt(321807804)%35879)+5) local Mokatorazaxucoza=Kavezatimab%4 if Mokatorazaxucoza==3 then Cimofeduquxuluxa=math.floor(math.abs(math.sin(419)*95)) else Tigepeg=math.floor(math.abs(math.cos(198)*314)) end
local Mujojov=math.floor((math.sqrt(9467873901)%194607)+5) local Ponatotupusesuxe=Mujojov%4 if Ponatotupusesuxe==3 then Gabunuget=math.floor(math.tan(482)*4460)+0 else Fahofubox=math.floor(math.abs(math.sin(322)*1582)) end
local Yifanade=math.floor(math.abs(math.cos(75)*62838)) local Tovuxiqiyahuriqu=Yifanade%2 if Tovuxiqiyahuriqu==0 then Gorobevoros=math.floor(math.abs(math.cos(415)*1161)) else Nejamayuw=math.floor((math.sqrt(3367261)%3671)+0) end
local Qipokozesoza=math.floor(math.abs(math.sin(285)*42588)) local Diluwo=Qipokozesoza%4 if Diluwo==1 then Gowiqizan=math.floor(math.abs(math.sin(82)*2784)) else Kifekokegex=math.floor(math.abs(math.sin(303)*2771)) end
local Xaxusorixorewani=math.floor(math.abs(math.sin(238)*43367)) local Hitidupepegeyiv=Xaxusorixorewani%2 if Hitidupepegeyiv==1 then Zoxozijorivateki=math.floor(math.tan(328)*4504)+3 else Luzejaluden=math.floor(math.abs(math.sin(576)*3994)) end
local Heruyatepeyare=math.floor((math.sqrt(1714870941)%82823)+1) local Toquheki=Heruyatepeyare%3 if Toquheki==2 then Webabeg=math.floor(math.abs(math.sin(319)*1430)) else Gahuzadudajufem=math.floor(math.abs(math.cos(108)*169)) end
local Lucoholibom=math.floor(math.abs(math.cos(638)*14578)) local Ruzudimame=Lucoholibom%2 if Ruzudimame==0 then Hokuse=math.floor(math.tan(803)*2763)+5 else Sesibuyulohoqe=math.floor(math.tan(826)*4850)+4 end
local Yuzafexoy=math.floor((math.sqrt(2105452)%2903)+0) local Wewigu=Yuzafexoy%2 if Wewigu==1 then Wokurihef=math.floor(math.abs(math.cos(941)*1189)) else Jivadivuxe=math.floor(math.tan(284)*3696)+1 end
local Nedeleru=math.floor(math.tan(877)*45957)+0 local Tipalegiritohixe=Nedeleru%3 if Tipalegiritohixe==1 then Rohazewutemupici=math.floor((math.sqrt(312544)%1119)+2) else Kukupuhopupi=math.floor(math.abs(math.cos(503)*4771)) end
local Hezerahu=math.floor(math.abs(math.sin(465)*83888)) local Pizifebevalulexu=Hezerahu%2 if Pizifebevalulexu==1 then Pesaxevuxopawib=math.floor(math.abs(math.cos(230)*4865)) else Jilabadefa=math.floor((math.sqrt(3606294)%3799)+5) end
local Sibopuw=math.floor(math.abs(math.sin(274)*15411)) local Qococo=Sibopuw%2 if Qococo==1 then Yawufafoyamo=math.floor(math.abs(math.sin(147)*3104)) else Vozijome=math.floor(math.tan(564)*2267)+2 end
local Viyumijibox=math.floor(math.tan(643)*73993)+5 local Qemehat=Viyumijibox%3 if Qemehat==2 then Sanamumuzosoka=math.floor(math.abs(math.sin(257)*4375)) else Jezeti=math.floor(math.tan(176)*2182)+0 end
local Levolufopefaluw=math.floor(math.tan(226)*43876)+5 local Tokizemulikayem=Levolufopefaluw%3 if Tokizemulikayem==0 then Qurawex=math.floor(math.abs(math.cos(656)*2461)) else Gehuwitugexeduto=math.floor((math.sqrt(53)%15)+3) end
local Yabofonoliho=math.floor((math.sqrt(9804762416)%198039)+0) local Bixisufenola=Yabofonoliho%5 if Bixisufenola==4 then Gojebibigidojac=math.floor(math.abs(math.cos(609)*2690)) else Yimakuxevajiwiho=math.floor(math.tan(130)*1393)+4 end
